lambda_1,lambda_2,lambda_3,objective_value,build_locations,supply_data
1.0,0.5,0.5,0.30320566173445884,[1700378],1
1.0,0.5,0.75,0.05320566173445884,[1700378],1
1.0,0.5,1.0,0.0,[],0
1.0,0.75,0.1,0.8788608827679429,"[1700378, 1700401, 1700402, 1700434, 1701117, 1701164]",6
1.0,0.75,0.25,0.4664620153625567,"[1700378, 1700401]",2
1.0,0.75,0.5,0.2048084926016882,[1700378],1
1.0,0.75,0.75,0.0,[],0
1.0,0.75,1.0,0.0,[],0
1.0,1.0,0.1,0.7164796835402326,"[1700378, 1700401, 1700402, 1701117, 1701164]",5
1.0,1.0,0.25,0.3564113234689177,[1700378],1
1.0,1.0,0.5,0.10641132346891768,[1700378],1
1.0,1.0,0.75,0.0,[],0
1.0,1.0,1.0,0.0,[],0
